"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
2,116.1159,87.78573,51.821,"TE",1.,4.55673025946066,5.93583079592815
2,50.48976,78.40386999999998,48.151,"DP",14.,4.7531835470945,6.19710029135185
2,53.129690000000004,42.19492999999999,51.192,"TE",9.,4.40482544628162,5.18702279987061
2,39.44951999999999,85.34503999999998,50.209,"DP",10.,6.57818158222693,5.06588542889286
2,49.11559,55.013679999999994,53.442,"DP",10.,5.97881609657282,6.22235103882612
2,52.59057,102.99242999999998,56.85,"TE",9.,3.88332151406552,5.16705877848762
2,41.41262,69.17144,54.903,"DP",12.,5.41005601122291,6.32239470586672
2,38.71409,60.16754999999999,61.823,"TE",9.,4.6784137294657,5.36970892477658
2,52.22725,67.3607,64.557,"PRE",13.,3.83755038093166,5.79223413711725
2,67.29624,108.75573999999999,62.322,"TE",5.,4.46116738845465,5.1414050852312
2,46.54012,88.88155,60.632,"DP",11.,5.58633890241013,5.73549565757113
2,38.94849,77.86768,67.533,"TE",7.,4.23668772534126,5.43954029101764
2,47.8762,58.84612,62.593,"DP",5.,6.50662713332414,5.85753445172148
2,53.90613999999999,49.0775,68.706,"TE",7.,2.96026983225258,5.14656723161836
2,96.72516,44.72938,75.277,"TE",0.,5.43369397010389,5.46364233516159
2,60.40488,100.28803999999998,77.576,"TE",5.,4.75745312204299,5.37083703830712
2,96.02781999999999,99.22738,78.401,"TE",2.,2.24220104533122,5.12803683981329
2,49.15661,84.00017,79.473,"TE",6.,4.2985617284817,5.47327175871406
2,103.43193,87.41948,82.615,"TE",2.,3.69778972402726,5.98105125004196
2,65.95137,49.47304999999999,83.699,"TE",3.,4.77906481493929,5.17606023967904
2,76.5609,92.83998,89.816,"TE",4.,2.2072134480279,5.15929778526757
2,62.77817999999999,68.14594,91.501,"TE",4.,5.26302120470099,5.26790107186725
3,60.258379999999995,74.40735,2.4034,"TE",6.,2.26958570608112,4.90235962597472
3,59.16842,59.839389999999995,7.6515,"TE",6.,2.45448947522825,5.17014972976165
3,79.57587,59.051219999999994,8.6692,"TE",5.,2.29776583232729,4.7244502528232
3,79.0514,91.51855,7.2413,"TE",2.,2.23987788736406,5.06783330514568
3,100.66893999999999,68.98392,13.527,"TE",6.,3.68996876874838,4.83861625145288
3,48.72297,72.02525999999999,13.388,"TE",8.,3.28553482468223,5.66406219735479
3,44.94034,86.46136999999999,17.087,"TE",7.,2.76888196910398,5.46936626012798
3,91.71485999999999,49.279669999999996,16.63,"TE",5.,4.07240827920418,4.77039287362018
3,48.752269999999996,58.63516,18.17,"TE",8.,3.60964849342049,5.484140332939
3,95.28946,91.06147,18.558,"TE",5.,3.55125070905478,4.99980286514061
3,82.90141999999999,41.78473,22.042,"TE",6.,4.23867533823717,5.47805979196559
3,55.746179999999995,46.57234999999999,23.189,"TE",8.,4.75572831056799,5.75267943454294
3,45.643539999999994,74.16123,24.819,"PRE",10.,3.81744196356002,6.18952374204967
3,106.29747,80.89436999999998,25.05,"TE",6.,4.60669231654758,4.92817884222123
3,50.261219999999994,102.16909999999999,27.725,"TE",9.,3.45331376484165,5.61864587175074
3,107.08564,52.74586,29.687,"TE",8.,5.0719387512619,4.50888628650703
3,50.76811,63.38762,28.391,"DP",12.,6.25631279909498,5.95081163985455
3,38.092929999999996,84.14081,30.109,"DP",10.,5.41670661535053,6.14293969100866
3,36.484359999999995,67.62733,32.209,"TE",14.,4.12507523336377,5.5220317138022
3,100.51951,94.63314,30.109,"TE",4.,5.4478837837812,5.67650017943238
3,75.90458,106.83952,34.71,"TE",8.,1.56247306931518,5.08114390894936
3,56.121219999999994,84.72094999999999,36.155,"DP",13.,6.48190222393495,5.48290784846195
