"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
3,62.259141050291966,91.80268192228006,25.23473723783442,"TE","N+G+",5.,18.889,41.765
3,124.17358429878662,123.6686551751029,23.20905065933799,"ICM+Epi","N+G+",10.,24.209,46.342
3,114.63727446327431,121.35027540790723,24.39748091433793,"ICM+Epi","N+G+",12.,33.973,40.697
3,119.14816179317586,109.53123801365636,24.534449045980036,"ICM+Epi","N+G+",10.,24.242,51.894
3,87.71509184853582,140.57481303825102,27.43755553544696,"TE","N+G+",6.,12.679,43.031
3,65.50883689687629,71.75574606370809,30.32212498454127,"TE","N+G+",3.,16.252,37.815
3,114.84618348198329,102.05524650085816,31.791700351859216,"ICM+Epi","N+G+",10.,34.226,35.75
3,101.85900615224094,117.96277794401492,33.032652221248235,"ICM+Epi","N+G+",13.,17.288,52.424
3,114.05310294799544,137.47711304525816,31.68150794519978,"ICM+Epi","N+G+",10.,38.994,48.24
3,108.35839784540958,144.97660165029143,35.25091805250463,"TE","N+G+",11.,15.522,44.441
3,94.22995828383107,66.19476756806984,38.402214915849356,"TE","N+G+",3.,16.216,48.134
3,115.7669306385155,90.07564564300084,35.33742424091017,"ICM+Epi","N+G+",8.,24.756,31.089
3,129.3150673703468,99.6546269108397,38.48048241964484,"ICM+Epi","N+G+",13.,35.506,35.228
3,103.89006605635613,130.4671471951226,38.68130035701485,"ICM+Epi","N+G+",10.,36.784,48.818
3,98.14506804185885,136.8857695573417,39.44852786132591,"ICM+Epi","N+G+",11.,30.122,51.589
3,118.88895986255544,112.47620690712111,39.83986538030335,"ICM+Epi","N+G+",14.,14.928,29.406
3,53.81766922023601,116.02818401665907,39.14266669517774,"TE","N-G+",4.,9.3877,27.383
3,106.47434799149701,118.47971397318693,41.37329055334921,"ICM+Epi","N+G+",12.,16.49,38.077
3,129.62843089841033,127.19321901036659,42.726494500550174,"TE","N+G+",10.,17.302,38.863
3,112.21547732046264,135.95371823201637,42.61424242273822,"ICM+Epi","N+G+",8.,21.012,35.82
3,123.24509977119111,87.1698385699279,44.92828296258646,"TE","N+G+",7.,14.013,39.245
3,110.96589189374033,101.30333954933526,43.24759130213594,"ICM+Epi","N+G+",13.,44.004,26.254
